Ahmedabad Airport,Ahmedabad
Aizawl Airport,Aizawl
Akola Airport,Akola
Along Airport,Along
Amausi Airport,Lucknow
Ludhiana Airport,Ludhiana
Bagdogra Airport,Bagdogra
Bajpe Airport,Mangalore
Bakula Rimpoche Airport,Leh
Balurghat Airport,Balurghat
Bamrauli Airport,Allahabad
Barapani Airport,Shillong
Bellary Airport,Bellary
HAL Airport,Bangalore
Bhatinda Airport,Bhatinda
Bhavnagar Airport,Bhavnagar
Bhopal Airport,Bhopal
Bhubaneswar Airport,Bhubaneswar
Bikaner Airport,Bikaner
Bilaspur Airport,Bilaspur
Birsa Munda International Airport,Ranchi
Borjhar Airport,Guwahati
Car Nicobar Airport,Car Nicobar
Chandigarh Airport,Chandigarh
Chennai International Airport,Chennai
Chhatrapati Shivaji International Airport,Mumbai
Chikkalthana Airport,Aurangabad
Cochin International Airport,Kochi
Cooch Behar Airport,Cooch Behar
Cuddapah Airport,Cuddapah
Dabok Airport,Udaipur
Dabolim Airport,Goa
Daman Airport,Daman
Daparizo Airport,Daparizo
Jolly Grant Aiport,Dehra Dun
Devi Ahilyabai Holkar Airport,Indore
Dhanbad Airport,Dhanbad
Dibrugarh Airport,Dibrugarh
Dimapur Airport,Dimapur
Diu Airport,Diu
Gaggal Airport,Dharamsala
Gandhinagar Airport,Nashik
Gaya Airport,Gaya
Gorakhpur Airport,Gorakhpur
Govardhanpur Airport,Jamnagar
Guna Airport,Guna
Gwalior Airport,Gwalior
Hissar Airport,Hissar
Hubli Airport,Hubli
BEGUMPET Airport,BEGUMPET
Indira Gandhi International Airport,New Delhi
Jabalpur Airport,Jabalpur
Jagdalpur Airport,Jagdalpur
Jaisalmer Airport,Jaisalmer
Jeypore Airport,Jeypore
Jodhpur Airport,Jodhpur
Kailashahar Airport,Kailashahar
Kamalpur Airport,Kamalpur
Kandla Airport,Kandla
Kanpur Airport,Kanpur
Keshod Airport,Keshod
Khajuraho Airport,Khajuraho
Kheria Airport,Agra
Khowai Airport,Khowai
Kolhapur Airport,Kolhapur
Kota Airport,Kota
Kozhikode Airport,Calicut
Kullu Manali Airport,Bhuntar Kullu
Kumbhirgram Airport,Silchar
Lilabari Airport,Lilabari
Lohegaon Airport,Pune
Madurai Airport,Madurai
Malda Airport,Malda
Municipal Airport,Imphal
Muzaffarnagar Airport,Muzaffarnagar
Muzaffarpur Airport,Muzaffarpur
Mysore Airport,Mysore
Nanded Airport,Nanded
Netaji Subhash Chandra Bose International Airport,Kolkata
Neyveli Airport,Neyveli
Osmanabad Airport,Osmanabad
Pantnagar Airport,Pantnagar
Pasighat Airport,Pasighat
Pathankot Airport,Pathankot
Patna Airport,Patna
Peelamedu Airport,Coimbatore
Pondicherry Airport,Pondicherry
Porbandar Airport,Porbandar
Port Blair Airport,Port Blair
Puttaparthi Airport,Puttaparthi
Raipur Airport,Raipur
Raja Sansi Airport,Amritsar
Rajahmundry Airport,Rajahmundry
Rajkot Airport,Rajkot
Rajouri Airport,Rajouri
Ramagundam Airport,Ramagundam
Ratnagiri Airport,Ratnagiri
Rewa Airport,Rewa
Rourkela Airport,Rourkela
Rowriah Airport,Jorhat
Rudra Mata Airport,Bhuj
Rupsi Airport,Rupsi
Salem Airport,Salem
Salonibari Airport,Tezpur
Sambre Airport,Belgaum
Sanganer Airport,Jaipur
Satna Airport,Satna
Satwari Airport,Jammu
Sholapur Airport,Sholapur
Simla Airport,Shimla
Sonari Airport,Jamshedpur
Sonegaon Airport,Nagpur
Srinagar Airport,Srinagar
Surat Airport,Surat
Tezu Airport,Tezu
Thanjavur Airport,Thanjavur
Tirupati Airport,Tirupati
Trichy Airport,Trichy
Tuticorin Airport,Tuticorin
Vadodara Airport,Vadodara
Varanasi Airport,Varanasi
Vijayawada Airport,Vijayawada
Vishakhapatnam Airport,Vishakhapatnam
Warangal Airport,Warangal
Zero Airport,Zero
Agatti Island Airport,Agatti Island
Kempegowda International Airport,Bangalore
Thiruvananthapuram International Airport,Trivandrum
RAJIV GANDHI INTERNATIONAL AIRPORT,Hyderabad
RAXAUL AIRPORT,EAST CHAMPARAN
BUXAR AIRPORT,Buxar
Katihar AIRPORT,Katihar
Kishanganj Airport,Kishanganj
Madhubani Airport,Madhubani
RAJGARH AIRPORT,Rajgarh
Ambikapur Airport,Surguja
Bhilai (Nandini)/ Durg,DURG
KORBA AIRPORT,KORBA
Mehsana Airport,Mehsana
Deesa Airport,Deesa
Karnal Airport,Karnal
Bhiwani Airport,Bhiwani
Narnaul Airport,Narnaul
Adampur Airport,Adampur
Jakkur Airfield,Bangalore
Baldota Airport,Koppal
Amla Airport,Betul
Ratlam Airport,Ratlam
Ujjain Airport,Ujjain
Sidhi Airport,Umarla
Aamby Valley Air Strip,Aamby Valley
Jalgaon Airport,Jalgaon
Latur Airport,Latur
Juhu Aerodrome,Mumbai
Yavatmal Airport,Yavatmal
Lengpui Airport,Lengpui
Hirakud Airstrip,Hirakud
Jharsuguda Airport,Jharsuguda
Utkela Airstrip,Utkela
Patiala Airport,Patiala
Jhunjhunu Airport,Jhunjhunu
Nagaur Airport,Nagaur
Vellore Airport,Vellore
Agartala Airport,Agartala
Meerut Airport,Meerut
Aligarh Airport,Aligarh
Behala Airport,Kolkata
Shibpur airport,Howrah
Bhilwara Airport,Bhilwara
Chakulia Airport,Chakulia
Noamundi Airport,Noamundi
Khandwa Airport,Khandwa
Vedanta Lanjigarh Airstrip IN-0093,Kalahandi
Fursatganj Airport,Raibareilly
Dhule Airport,Dhule
Mandvi airport,Mandvi
Dhrangadhra Airfield,Dhrangadhra
Mauirpur Airport ,Mauirpur
KEONJHAR AIRPORT ,KEONJHAR
Vijay Nagar Airport IN-0034,Vijay Nagar
Umaria Air Field,Umaria
Dhana Airport,Dhana
Koppal Aerodrome,Koppal
Hospet Airport,Hospet
Kanpur Civil Airport,Kanpur
Tarpura Airport,Sikar
Kishangarh Airport,Kishangarh
Baripada Airport,Baripada
Padmapur Airport,Padmapur
Shivpuri Airport,Shivpuri
Sagar Airport,Sagar
Khargone Airport,Khargone
Jhabua Airstrip,Jhabua
Damoh Airport,Damoh
Birwa Airfield,Birwa
Chhindwara Airport,Chhindwara
Amreli Airport,Amreli
Wankaner Airport,Wankaner
Bokaro,Bokaro Airport
Vidyanagar/ Vijaynagar (Jindal),Toranagallu
Amravati,Belora
Shirpur,Shirpur
Baramati Airport,Pune
Gondia,Gondia
Savitri Jindal,Angul
Barbil Tonto Aerodrome,Barbil
Jallowal,Jallowal
Pilani New Airport,Pilani
Hosur Aerodrome,Hosur
Moradabad,Moradabad
Azamgarh,Azamgarh
Ghazipur Airport,Ghazipur
Grassmore,Darjeeling
Hindan Airport,Ghaziabad
AMBALA AIRPORT,Ambala
Sirsa AIRPORT,Sirsa
Udhampur Airport,Udhampur
Yelahanka Air Force Station,Yelahanka
Bidar Airport,Bidar
Ozar Airport,Nashik
Halwara Air Force Station,Ludhiana
Utterlai Airport,Barmer
Tambaram Air Force,Chennai
Sulur Air Force,Coimbatore
Bareilly Airport,Bareilly
Lucknow Air Force Station,Lucknow
Sarsawa Air Base,Saharanpur
Jhansi Airport,Jhansi
Firozpur airport,Firozpur
Barrackpore Air Force Station,Barrackpore
Panagarh Airport,Panagarh
Adampur Air Force Station,Adampur
Neemuch Airport,Neemuch